Interesse Principal na Campus Party Brasil,Participou de Edições Anteriores,Frequência em Eventos de Tecnologia,Formato de Evento Preferido,Atividades Atraentes,Importância da Diversidade de Temas,Idade,Área Mais Promissora para o Futuro,Interessado em Participar de uma Comunidade Online,Melhorias para Experiência na Campus Party Brasil
Makers,Não,Nunca participei,Híbrido (Combinação de presencial e online),"['Competições de gaming', 'Networking', 'Hackathons', 'Exposições de tecnologia', 'Workshops', 'Atividades para crianças', 'Palestras']",Indiferente,19,Robótica,Não,"['Mais workshops práticos', 'Mais competições e desafios', 'Maior diversidade de palestrantes', 'Melhor estrutura física', 'Outro', 'Maior variedade de temas abordados', 'Mais oportunidades de networking']"
Desenvolvedores,Sim,Nunca participei,Online,"['Exposições de tecnologia', 'Competições de gaming', 'Workshops']",Indiferente,27,Robótica,Não,"['Mais oportunidades de networking', 'Maior diversidade de palestrantes', 'Mais competições e desafios', 'Maior variedade de temas abordados', 'Outro', 'Melhor estrutura física', 'Mais workshops práticos']"
Entusiastas de Hardware e Robótica,Não,Nunca participei,Presencial,"['Hackathons', 'Palestras', 'Networking', 'Competições de gaming', 'Exposições de tecnologia', 'Workshops', 'Atividades para crianças']",Indiferente,27,Robótica,Não,"['Mais oportunidades de networking', 'Mais workshops práticos', 'Maior diversidade de palestrantes', 'Outro', 'Melhor estrutura física']"
Crianças Makers,Sim,Nunca participei,Não tenho preferência,"['Networking', 'Hackathons', 'Workshops', 'Competições de gaming', 'Palestras', 'Atividades para crianças', 'Exposições de tecnologia']",Pouco importante,27,Inteligência Artificial,Não,"['Outro', 'Melhor estrutura física', 'Maior variedade de temas abordados', 'Mais oportunidades de networking']"
Crianças Makers,Sim,Ocasionalmente (1 a 3 vezes por ano),Online,"['Networking', 'Atividades para crianças', 'Workshops', 'Hackathons', 'Exposições de tecnologia', 'Competições de gaming', 'Palestras']",Muito importante,30,Outra,Não,"['Mais competições e desafios', 'Melhor estrutura física', 'Mais oportunidades de networking']"
Profissionais de TI,Sim,Nunca participei,Híbrido (Combinação de presencial e online),"['Palestras', 'Exposições de tecnologia', 'Hackathons', 'Workshops', 'Atividades para crianças', 'Networking', 'Competições de gaming']",Indiferente,26,Blockchain,Sim,"['Melhor estrutura física', 'Mais oportunidades de networking', 'Maior variedade de temas abordados', 'Maior diversidade de palestrantes', 'Mais competições e desafios', 'Outro']"
Estudantes e Acadêmicos,Sim,Ocasionalmente (1 a 3 vezes por ano),Presencial,"['Competições de gaming', 'Exposições de tecnologia', 'Workshops']",Pouco importante,18,Internet das Coisas (IoT),Não,"['Mais competições e desafios', 'Melhor estrutura física']"
Profissionais de TI,Sim,Raramente (menos de 1 vez por ano),Não tenho preferência,"['Networking', 'Exposições de tecnologia', 'Atividades para crianças']",Importante,25,Realidade Virtual e Aumentada,Não,"['Mais workshops práticos', 'Mais competições e desafios']"
Profissionais de TI,Sim,Raramente (menos de 1 vez por ano),Presencial,"['Palestras', 'Hackathons', 'Atividades para crianças']",Indiferente,23,Inteligência Artificial,Sim,"['Maior variedade de temas abordados', 'Melhor estrutura física']"
Estudantes e Acadêmicos,Não,Regularmente (mais de 3 vezes por ano),Híbrido (Combinação de presencial e online),"['Competições de gaming', 'Networking']",Importante,25,Blockchain,Sim,['Maior diversidade de palestrantes']
Cientistas e Pesquisadores,Não,Regularmente (mais de 3 vezes por ano),Não tenho preferência,"['Workshops', 'Palestras']",Indiferente,26,Blockchain,Não,"['Mais workshops práticos', 'Maior variedade de temas abordados', 'Mais oportunidades de networking', 'Maior diversidade de palestrantes']"
Profissionais de TI,Sim,Raramente (menos de 1 vez por ano),Híbrido (Combinação de presencial e online),"['Workshops', 'Palestras', 'Hackathons', 'Competições de gaming', 'Atividades para crianças']",Importante,20,Outra,Sim,"['Maior diversidade de palestrantes', 'Maior variedade de temas abordados', 'Mais workshops práticos', 'Melhor estrutura física']"
Empreendedores,Sim,Ocasionalmente (1 a 3 vezes por ano),Online,"['Palestras', 'Exposições de tecnologia', 'Workshops']",Pouco importante,27,Realidade Virtual e Aumentada,Não,"['Mais competições e desafios', 'Outro', 'Melhor estrutura física', 'Maior diversidade de palestrantes', 'Maior variedade de temas abordados']"
Profissionais de TI,Sim,Regularmente (mais de 3 vezes por ano),Online,"['Exposições de tecnologia', 'Atividades para crianças', 'Palestras', 'Competições de gaming', 'Networking', 'Workshops', 'Hackathons']",Pouco importante,27,Blockchain,Sim,"['Maior variedade de temas abordados', 'Mais workshops práticos', 'Mais competições e desafios', 'Melhor estrutura física', 'Outro']"
Makers,Sim,Raramente (menos de 1 vez por ano),Online,"['Exposições de tecnologia', 'Atividades para crianças', 'Networking', 'Palestras', 'Competições de gaming', 'Workshops']",Importante,26,Inteligência Artificial,Não,"['Maior variedade de temas abordados', 'Mais workshops práticos']"
Empreendedores,Sim,Ocasionalmente (1 a 3 vezes por ano),Presencial,['Networking'],Importante,26,Inteligência Artificial,Não,"['Maior variedade de temas abordados', 'Melhor estrutura física']"
Gamers,Não,Ocasionalmente (1 a 3 vezes por ano),Online,"['Hackathons', 'Competições de gaming', 'Atividades para crianças', 'Workshops']",Pouco importante,23,Internet das Coisas (IoT),Não,"['Melhor estrutura física', 'Mais competições e desafios', 'Maior variedade de temas abordados', 'Mais workshops práticos', 'Mais oportunidades de networking']"
Profissionais de TI,Sim,Regularmente (mais de 3 vezes por ano),Presencial,"['Workshops', 'Palestras', 'Exposições de tecnologia', 'Atividades para crianças', 'Competições de gaming', 'Hackathons', 'Networking']",Pouco importante,18,Outra,Não,"['Outro', 'Melhor estrutura física', 'Mais oportunidades de networking', 'Mais workshops práticos', 'Mais competições e desafios']"
Estudantes e Acadêmicos,Não,Nunca participei,Presencial,"['Palestras', 'Workshops', 'Networking', 'Hackathons', 'Competições de gaming', 'Exposições de tecnologia', 'Atividades para crianças']",Pouco importante,25,Robótica,Sim,"['Mais workshops práticos', 'Mais oportunidades de networking', 'Melhor estrutura física', 'Outro', 'Mais competições e desafios', 'Maior diversidade de palestrantes']"
Gamers,Não,Raramente (menos de 1 vez por ano),Híbrido (Combinação de presencial e online),"['Hackathons', 'Atividades para crianças', 'Networking', 'Workshops', 'Competições de gaming', 'Palestras', 'Exposições de tecnologia']",Pouco importante,23,Outra,Sim,['Maior diversidade de palestrantes']
Produtores de Conteúdo,Sim,Nunca participei,Não tenho preferência,"['Exposições de tecnologia', 'Workshops', 'Networking', 'Atividades para crianças', 'Competições de gaming', 'Palestras']",Importante,17,Outra,Não,"['Maior variedade de temas abordados', 'Mais oportunidades de networking', 'Mais workshops práticos', 'Outro', 'Mais competições e desafios', 'Melhor estrutura física']"
Profissionais de TI,Não,Raramente (menos de 1 vez por ano),Não tenho preferência,"['Atividades para crianças', 'Palestras']",Indiferente,30,Robótica,Sim,"['Melhor estrutura física', 'Mais workshops práticos', 'Outro', 'Maior diversidade de palestrantes', 'Maior variedade de temas abordados']"
Cientistas e Pesquisadores,Sim,Regularmente (mais de 3 vezes por ano),Online,"['Networking', 'Exposições de tecnologia']",Muito importante,28,Blockchain,Não,['Mais oportunidades de networking']
Profissionais de TI,Sim,Nunca participei,Não tenho preferência,"['Hackathons', 'Palestras']",Pouco importante,28,Inteligência Artificial,Não,"['Mais competições e desafios', 'Melhor estrutura física', 'Outro', 'Mais workshops práticos', 'Maior variedade de temas abordados', 'Mais oportunidades de networking', 'Maior diversidade de palestrantes']"
Gamers,Não,Regularmente (mais de 3 vezes por ano),Não tenho preferência,"['Competições de gaming', 'Hackathons', 'Palestras']",Muito importante,16,Inteligência Artificial,Sim,"['Maior variedade de temas abordados', 'Mais workshops práticos', 'Outro', 'Maior diversidade de palestrantes', 'Mais oportunidades de networking', 'Melhor estrutura física']"
Empreendedores,Sim,Raramente (menos de 1 vez por ano),Presencial,"['Competições de gaming', 'Networking', 'Workshops', 'Palestras']",Pouco importante,25,Outra,Sim,"['Maior variedade de temas abordados', 'Maior diversidade de palestrantes', 'Mais oportunidades de networking']"
Gamers,Não,Raramente (menos de 1 vez por ano),Presencial,"['Exposições de tecnologia', 'Hackathons', 'Atividades para crianças', 'Competições de gaming', 'Palestras', 'Networking', 'Workshops']",Muito importante,25,Inteligência Artificial,Sim,"['Mais oportunidades de networking', 'Mais competições e desafios']"
Profissionais de TI,Sim,Nunca participei,Híbrido (Combinação de presencial e online),"['Workshops', 'Palestras', 'Exposições de tecnologia', 'Atividades para crianças']",Pouco importante,16,Robótica,Sim,['Mais oportunidades de networking']
Makers,Não,Raramente (menos de 1 vez por ano),Híbrido (Combinação de presencial e online),"['Workshops', 'Exposições de tecnologia', 'Competições de gaming']",Muito importante,19,Internet das Coisas (IoT),Não,"['Maior diversidade de palestrantes', 'Mais competições e desafios']"
Crianças Makers,Não,Nunca participei,Não tenho preferência,"['Exposições de tecnologia', 'Networking', 'Atividades para crianças', 'Hackathons', 'Palestras', 'Competições de gaming', 'Workshops']",Muito importante,27,Realidade Virtual e Aumentada,Não,"['Outro', 'Mais workshops práticos', 'Maior diversidade de palestrantes', 'Maior variedade de temas abordados', 'Mais competições e desafios', 'Melhor estrutura física', 'Mais oportunidades de networking']"
Profissionais de TI,Não,Ocasionalmente (1 a 3 vezes por ano),Online,['Workshops'],Muito importante,28,Robótica,Não,['Melhor estrutura física']
Cientistas e Pesquisadores,Não,Nunca participei,Presencial,"['Competições de gaming', 'Atividades para crianças', 'Palestras', 'Workshops', 'Networking', 'Exposições de tecnologia', 'Hackathons']",Pouco importante,29,Outra,Não,"['Maior diversidade de palestrantes', 'Maior variedade de temas abordados', 'Mais workshops práticos', 'Mais oportunidades de networking', 'Mais competições e desafios']"
Estudantes e Acadêmicos,Não,Raramente (menos de 1 vez por ano),Híbrido (Combinação de presencial e online),"['Networking', 'Palestras', 'Atividades para crianças', 'Exposições de tecnologia', 'Competições de gaming', 'Hackathons', 'Workshops']",Indiferente,25,Realidade Virtual e Aumentada,Não,"['Mais competições e desafios', 'Maior diversidade de palestrantes', 'Mais oportunidades de networking', 'Maior variedade de temas abordados', 'Mais workshops práticos', 'Outro', 'Melhor estrutura física']"
Empreendedores,Não,Raramente (menos de 1 vez por ano),Não tenho preferência,"['Palestras', 'Exposições de tecnologia', 'Atividades para crianças', 'Hackathons']",Importante,29,Internet das Coisas (IoT),Sim,"['Mais workshops práticos', 'Melhor estrutura física', 'Mais competições e desafios', 'Outro', 'Maior variedade de temas abordados', 'Maior diversidade de palestrantes']"
Profissionais de TI,Não,Ocasionalmente (1 a 3 vezes por ano),Não tenho preferência,"['Networking', 'Atividades para crianças', 'Hackathons', 'Competições de gaming', 'Exposições de tecnologia']",Muito importante,29,Robótica,Sim,"['Maior variedade de temas abordados', 'Mais competições e desafios', 'Mais workshops práticos', 'Melhor estrutura física', 'Mais oportunidades de networking', 'Outro']"
Estudantes e Acadêmicos,Não,Nunca participei,Não tenho preferência,"['Workshops', 'Atividades para crianças', 'Networking', 'Competições de gaming']",Pouco importante,24,Robótica,Não,['Mais competições e desafios']
Estudantes e Acadêmicos,Não,Nunca participei,Online,"['Exposições de tecnologia', 'Workshops']",Importante,21,Outra,Não,"['Mais oportunidades de networking', 'Mais competições e desafios', 'Melhor estrutura física', 'Maior variedade de temas abordados', 'Outro', 'Maior diversidade de palestrantes', 'Mais workshops práticos']"
Gamers,Sim,Regularmente (mais de 3 vezes por ano),Híbrido (Combinação de presencial e online),['Workshops'],Indiferente,22,Realidade Virtual e Aumentada,Sim,"['Mais workshops práticos', 'Outro', 'Maior variedade de temas abordados', 'Maior diversidade de palestrantes']"
Cientistas e Pesquisadores,Sim,Nunca participei,Híbrido (Combinação de presencial e online),['Atividades para crianças'],Muito importante,27,Inteligência Artificial,Sim,"['Mais competições e desafios', 'Melhor estrutura física', 'Outro', 'Maior diversidade de palestrantes', 'Mais oportunidades de networking']"
Makers,Não,Ocasionalmente (1 a 3 vezes por ano),Não tenho preferência,"['Exposições de tecnologia', 'Atividades para crianças', 'Workshops', 'Networking', 'Palestras', 'Hackathons']",Pouco importante,16,Robótica,Sim,"['Mais competições e desafios', 'Maior diversidade de palestrantes', 'Mais workshops práticos', 'Melhor estrutura física', 'Maior variedade de temas abordados']"
Cientistas e Pesquisadores,Sim,Raramente (menos de 1 vez por ano),Presencial,['Workshops'],Indiferente,27,Inteligência Artificial,Não,"['Mais oportunidades de networking', 'Melhor estrutura física', 'Mais workshops práticos', 'Maior variedade de temas abordados', 'Maior diversidade de palestrantes', 'Outro']"
Produtores de Conteúdo,Sim,Raramente (menos de 1 vez por ano),Não tenho preferência,"['Exposições de tecnologia', 'Palestras']",Muito importante,16,Robótica,Sim,"['Mais workshops práticos', 'Maior variedade de temas abordados', 'Mais competições e desafios', 'Mais oportunidades de networking', 'Melhor estrutura física', 'Maior diversidade de palestrantes']"
Produtores de Conteúdo,Sim,Raramente (menos de 1 vez por ano),Presencial,"['Networking', 'Exposições de tecnologia', 'Atividades para crianças', 'Hackathons']",Indiferente,26,Outra,Sim,"['Mais workshops práticos', 'Maior diversidade de palestrantes', 'Mais oportunidades de networking']"
Desenvolvedores,Sim,Raramente (menos de 1 vez por ano),Presencial,"['Atividades para crianças', 'Palestras', 'Networking', 'Hackathons']",Muito importante,32,Realidade Virtual e Aumentada,Não,['Mais competições e desafios']
Produtores de Conteúdo,Sim,Regularmente (mais de 3 vezes por ano),Não tenho preferência,"['Networking', 'Hackathons', 'Atividades para crianças', 'Competições de gaming', 'Workshops']",Pouco importante,26,Internet das Coisas (IoT),Não,['Mais competições e desafios']
Makers,Não,Raramente (menos de 1 vez por ano),Híbrido (Combinação de presencial e online),['Networking'],Importante,18,Robótica,Sim,"['Outro', 'Maior variedade de temas abordados', 'Mais competições e desafios', 'Mais workshops práticos', 'Mais oportunidades de networking', 'Melhor estrutura física']"
